plate_name,well,value,conc,r2,comment
PD4,D12,20094,37.73,0.99,
PD4,E12,8416,14.83,0.99,
PD4,F12,24031,45.45,0.99,
PD4,G12,26928,51.13,0.99,
PD4,H12,592,0.00,0.99,empty well
PD5,A01,399,0.00,0.98,
PD5,B01,2750,10.12,0.98,
PD5,C01,1333,3.84,0.98,
PD5,D01,369,0.00,0.98,
PD5,E01,1355,3.94,0.98,
PD5,F01,5008,20.13,0.98,
PD5,G01,1912,6.41,0.98,
PD5,H01,1746,5.67,0.98,
PD5,A02,1536,0.00,0.99,
PD5,B02,23083,23.04,0.99,
PD5,C02,2687,1.23,0.99,
PD5,D02,1541,0.01,0.99,
PD5,E02,5867,4.63,0.99,
PD5,F02,2391,0.92,0.99,
PD5,G02,3175,1.76,0.99,
PD5,H02,18978,18.66,0.99,
PD5,A03,3134,1.71,0.99,
PD5,B03,1115,0.00,0.99,
PD5,C03,1039,0.00,0.99,
PD5,D03,992,0.00,0.99,
PD5,E03,2163,0.67,0.99,
PD5,F03,9162,8.16,0.99,
PD5,G03,15062,14.47,0.99,
PD5,H03,10666,9.77,0.99,
PD5,A04,9026,8.01,0.99,
PD5,B04,1215,0.00,0.99,
PD5,C04,1619,0.09,0.99,
PD5,D04,1589,0.06,0.99,
PD5,E04,7093,5.95,0.99,
PD5,F04,3424,2.02,0.99,
PD5,G04,2298,0.82,0.99,
PD5,H04,2104,0.61,0.99,
PD5,A05,1799,0.28,0.99,
PD5,B05,1444,0.00,0.99,
PD5,C05,1402,0.00,0.99,
PD5,D05,1173,0.00,0.99,
PD5,E05,7785,6.69,0.99,
PD5,F05,3681,2.30,0.99,
PD5,G05,7876,6.78,0.99,
PD5,H05,19653,19.38,0.99,
PD5,A06,1079,0.00,0.99,
PD5,B06,1182,0.00,0.99,
PD5,C06,1045,0.00,0.99,
PD5,D06,1159,0.00,0.99,
PD5,E06,5357,4.09,0.99,
PD5,F06,2784,1.34,0.99,
PD5,G06,4822,3.52,0.99,
PD5,H06,16014,15.49,0.99,
PD5,A07,1209,0.00,0.99,
PD5,B07,1316,0.00,0.99,
PD5,C07,1436,0.00,0.99,
PD5,D07,1180,0.00,0.99,
PD5,E07,2007,0.51,0.99,
PD5,F07,1850,0.34,0.99,
PD5,G07,1036,0.00,0.99,
PD5,H07,1208,0.00,0.99,
PD5,A08,10578,9.67,0.99,
PD5,B08,1784,0.27,0.99,
PD5,C08,1729,0.21,0.99,
PD5,D08,1043,0.00,0.99,
PD5,E08,8808,7.78,0.99,
PD5,F08,3455,2.06,0.99,
PD5,G08,3819,2.44,0.99,
PD5,H08,996,0.00,0.99,
PD5,A09,1020,0.00,0.99,
PD5,B09,1448,0.00,0.99,
PD5,C09,2598,1.14,0.99,
PD5,D09,2294,0.81,0.99,
PD5,E09,1013,0.00,0.99,
PD5,F09,1962,0.46,0.99,
PD5,G09,2201,0.71,0.99,
PD5,H09,8529,7.48,0.99,
PD5,A10,8027,6.94,0.99,
PD5,B10,1392,0.00,0.99,
PD5,C10,1107,0.00,0.99,
PD5,D10,1430,0.00,0.99,
PD5,E10,20399,20.17,0.99,
PD5,F10,3835,2.46,0.99,
PD5,G10,1725,0.21,0.99,
PD5,H10,1374,0.00,0.99,
PD5,A11,1458,0.00,0.99,
PD5,B11,1068,0.00,0.99,
PD5,C11,1566,0.04,0.99,
PD5,D11,1339,0.00,0.99,
PD5,E11,3860,2.49,0.99,
PD5,F11,1146,0.00,0.99,
PD5,G11,2188,0.70,0.99,
PD5,H11,12221,11.43,0.99,
PD5,A12,14276,13.63,0.99,
PD5,B12,1042,0.00,0.99,
PD5,C12,1183,0.00,0.99,
PD5,D12,13745,13.06,0.99,
PD5,E12,6194,4.98,0.99,
PD5,F12,1211,0.00,0.99,
PD5,G12,3719,2.34,0.99,
PD5,H12,47915,49.60,0.99,
PD7,A01,6460,26.56,0.98,
PD7,B01,13676,58.55,0.98,
PD7,C01,2671,9.77,0.98,
PD7,D01,11746,49.99,0.98,
PD7,E01,4545,18.08,0.98,
PD7,F01,11596,49.33,0.98,
PD7,G01,16550,71.28,0.98,
PD7,H01,5189,20.93,0.98,
PD7,A02,47392,60.14,0.98,
PD7,B02,14023,16.26,0.98,
PD7,C02,1735,0.10,0.98,
PD7,D02,7843,8.14,0.98,
PD7,E02,6852,6.83,0.98,
PD7,F02,13490,15.56,0.98,
PD7,G02,3226,2.06,0.98,
PD7,H02,3123,1.93,0.98,
PD7,A03,10273,11.33,0.98,
PD7,B03,7776,8.05,0.98,
PD7,C03,14079,16.34,0.98,
PD7,D03,14164,16.45,0.98,
PD7,E03,40277,50.78,0.98,
PD7,F03,22611,27.55,0.98,
PD7,G03,13278,15.28,0.98,
PD7,H03,1789,0.17,0.98,
PD7,A04,4128,3.25,0.98,
PD7,B04,1289,0.00,0.98,
PD7,C04,1832,0.23,0.98,
PD7,D04,14384,16.74,0.98,
PD7,E04,2904,1.64,0.98,
PD7,F04,23775,29.08,0.98,
PD7,G04,27957,34.58,0.98,
PD7,H04,2316,0.87,0.98,
PD7,A05,29634,36.79,0.98,
PD7,B05,44669,56.56,0.98,
PD7,C05,3731,2.73,0.98,
PD7,D05,20805,25.18,0.98,
PD7,E05,9043,9.71,0.98,
PD7,F05,2358,0.92,0.98,
PD7,G05,11938,13.52,0.98,
PD7,H05,2160,0.66,0.98,
PD7,A06,8306,8.74,0.98,
PD7,B06,13091,15.04,0.98,
PD7,C06,3642,2.61,0.98,
PD7,D06,2509,1.12,0.98,
PD7,E06,8697,9.26,0.98,
PD7,F06,32559,40.64,0.98,
PD7,G06,15152,17.75,0.98,
PD7,H06,7322,7.45,0.98,
PD7,A07,27129,33.50,0.98,
PD7,B07,21104,25.57,0.98,
PD7,C07,18585,22.26,0.98,
PD7,D07,5816,5.47,0.98,
PD7,E07,2753,1.44,0.98,
PD7,F07,9225,9.95,0.98,
PD7,G07,4371,3.57,0.98,
PD7,H07,3552,2.49,0.98,
PD7,A08,3231,2.07,0.98,
PD7,B08,3966,3.04,0.98,
PD7,C08,6600,6.50,0.98,
PD7,D08,8911,9.54,0.98,
PD7,E08,2457,1.05,0.98,
PD7,F08,9007,9.67,0.98,
PD7,G08,7130,7.20,0.98,
PD7,H08,2746,1.43,0.98,
PD7,A09,1874,0.29,0.98,
PD7,B09,5264,4.74,0.98,
PD7,C09,2060,0.53,0.98,
PD7,D09,6571,6.46,0.98,
PD7,E09,4790,4.12,0.98,
PD7,F09,1903,0.32,0.98,
PD7,G09,1384,0.00,0.98,
PD7,H09,2612,1.26,0.98,
PD7,A10,5226,4.69,0.98,
PD7,B10,2232,0.76,0.98,
PD7,C10,2195,0.71,0.98,
PD7,D10,10130,11.14,0.98,
PD7,E10,2476,1.08,0.98,
PD7,F10,9172,9.88,0.98,
PD7,G10,1436,0.00,0.98,
PD7,H10,3166,1.99,0.98,
PD7,A11,2092,0.57,0.98,
PD7,B11,7300,7.42,0.98,
PD7,C11,13094,15.04,0.98,
PD7,D11,3694,2.68,0.98,
PD7,E11,22272,27.11,0.98,
PD7,F11,33546,41.93,0.98,
PD7,G11,1740,0.11,0.98,
PD7,H11,3127,1.93,0.98,
PD7,A12,3459,2.37,0.98,
PD7,B12,1834,0.23,0.98,
PD7,C12,18173,21.72,0.98,
PD7,D12,23934,29.29,0.98,
PD7,E12,7718,7.97,0.98,
PD7,F12,5832,5.49,0.98,
PD7,G12,1906,0.33,0.98,
PD7,H12,3886,2.93,0.98,
PD8,A01,20485,88.72,0.98,
PD8,B01,8438,35.33,0.98,
PD8,C01,21583,93.59,0.98,
PD8,D01,3575,13.78,0.98,
PD8,E01,308,0.00,0.98,empty well
PD8,F01,33848,147.95,0.98,
PD8,G01,19215,83.09,0.98,
PD8,H01,46878,205.70,0.98,
PD8,A02,33592,111.30,0.97,
PD8,B02,37362,124.08,0.97,
PD8,C02,19596,63.86,0.97,
PD8,D02,36267,120.36,0.97,
PD8,E02,16924,54.80,0.97,
PD8,F02,8607,26.61,0.97,
PD8,G02,26424,87.00,0.97,
PD8,H02,22059,72.21,0.97,
PD8,A03,842,0.29,0.97,empty well
PD8,B03,644,0.00,0.97,
PD8,C03,852,0.32,0.97,
PD8,D03,583,0.00,0.97,
PD8,E03,735,0.00,0.97,
PD8,F03,1197,1.49,0.97,
PD8,G03,3933,10.77,0.97,
PD8,H03,834,0.26,0.97,
PD8,A04,1119,1.23,0.97,
PD8,B04,3345,8.77,0.97,
PD8,C04,758,0.00,0.97,
PD8,D04,1827,3.63,0.97,
PD8,E04,1423,2.26,0.97,
PD8,F04,1246,1.66,0.97,
PD8,G04,1328,1.94,0.97,
PD8,H04,523,0.00,0.97,
PD8,A05,1538,2.65,0.97,
PD8,B05,661,0.00,0.97,
PD8,C05,2699,6.58,0.97,
PD8,D05,21192,69.27,0.97,
PD8,E05,905,0.50,0.97,
PD8,F05,1699,3.19,0.97,
PD8,G05,983,0.77,0.97,
PD8,H05,1259,1.70,0.97,
PD8,A06,1702,3.20,0.97,
PD8,B06,2788,6.88,0.97,
PD8,C06,10457,32.88,0.97,
PD8,D06,1189,1.46,0.97,
PD8,E06,574,0.00,0.97,
PD8,F06,4255,11.86,0.97,
PD8,G06,1411,2.22,0.97,
PD8,H06,735,0.00,0.97,
PD8,A07,15971,51.57,0.97,
PD8,B07,31565,104.43,0.97,
PD8,C07,15437,49.76,0.97,
PD8,D07,36065,119.68,0.97,
PD8,E07,32608,107.96,0.97,
PD8,F07,15416,49.69,0.97,
PD8,G07,11790,37.40,0.97,
PD8,H07,1346,2.00,0.97,
PD8,A08,16266,52.57,0.97,
PD8,B08,35423,117.50,0.97,
PD8,C08,20777,67.86,0.97,
PD8,D08,25296,83.18,0.97,
PD8,E08,24995,82.16,0.97,
PD8,F08,39766,132.22,0.97,
PD8,G08,14201,45.57,0.97,
PD8,H08,571,0.00,0.97,empty well
PD8,A09,32307,106.94,0.97,
PD8,B09,6880,20.75,0.97,
PD8,C09,13692,43.84,0.97,
PD8,D09,37754,125.40,0.97,
PD8,E09,24150,79.29,0.97,
PD8,F09,9796,30.64,0.97,
PD8,G09,18844,61.31,0.97,
PD8,H09,1739,3.33,0.97,
PD8,A10,13106,41.86,0.97,
PD8,B10,18596,60.47,0.97,
PD8,C10,32049,106.07,0.97,
PD8,D10,19323,62.93,0.97,
PD8,E10,3181,8.22,0.97,
PD8,F10,25507,83.89,0.97,
PD8,G10,1027,0.92,0.97,empty well
PD8,H10,715,0.00,0.97,empty well
PD8,A11,30549,100.98,0.97,
PD8,B11,2791,6.89,0.97,
PD8,C11,1074,1.07,0.97,
PD8,D11,30867,102.06,0.97,
PD8,E11,27142,89.43,0.97,
PD8,F11,543,0.00,0.97,
PD8,G11,925,0.57,0.97,empty well
PD8,H11,781,0.08,0.97,empty well
PD8,A12,4149,11.50,0.97,
PD8,B12,52633,175.84,0.97,
PD8,C12,3331,8.73,0.97,
PD8,D12,1763,3.41,0.97,
PD8,E12,1029,0.92,0.97,empty well
PD8,F12,2938,7.39,0.97,
PD8,G12,628,0.00,0.97,empty well
PD8,H12,3576,9.56,0.97,
PD9,A01,294,0.00,0.98,
PD9,B01,261,0.00,0.98,
PD9,C01,8784,36.86,0.98,
PD9,D01,14375,61.64,0.98,
PD9,E01,2101,7.25,0.98,
PD9,F01,14559,62.46,0.98,
PD9,G01,2213,7.74,0.98,
PD9,H01,362,0.00,0.98,
PD9,A02,950,0.00,0.98,
PD9,B02,2445,2.00,0.98,
PD9,C02,1280,0.00,0.98,
PD9,D02,15463,24.57,0.98,
PD9,E02,9054,13.46,0.98,
PD9,F02,18518,29.86,0.98,
PD9,G02,13551,21.25,0.98,
PD9,H02,24615,40.43,0.98,
PD9,A03,19228,31.09,0.98,
PD9,B03,16476,26.32,0.98,
PD9,C03,12065,18.68,0.98,
PD9,D03,20941,34.06,0.98,
PD9,E03,33457,55.75,0.98,
PD9,F03,1436,0.25,0.98,
PD9,G03,1191,0.00,0.98,
PD9,H03,51146,86.41,0.98,
PD9,A04,984,0.00,0.98,
PD9,B04,11963,18.50,0.98,
PD9,C04,1491,0.35,0.98,
PD9,D04,3357,3.58,0.98,
PD9,E04,2855,2.71,0.98,
PD9,F04,21015,34.19,0.98,
PD9,G04,25454,41.88,0.98,
PD9,H04,24049,39.45,0.98,
PD9,A05,3560,3.93,0.98,
PD9,B05,2697,2.44,0.98,
PD9,C05,844,0.00,0.98,
PD9,D05,29303,48.55,0.98,
PD9,E05,27224,44.95,0.98,
PD9,F05,4753,6.00,0.98,
PD9,G05,17223,27.62,0.98,
PD9,H05,2641,2.34,0.98,
PD9,A06,22120,36.10,0.98,
PD9,B06,2046,1.31,0.98,
PD9,C06,837,0.00,0.98,
PD9,D06,1145,0.00,0.98,
PD9,E06,2999,2.96,0.98,
PD9,F06,2823,2.66,0.98,
PD9,G06,5635,7.53,0.98,
PD9,H06,5090,6.59,0.98,
PD9,A07,1647,0.62,0.98,
PD9,B07,4286,5.19,0.98,
PD9,C07,18216,29.34,0.98,
PD9,D07,5735,7.70,0.98,
PD9,E07,1475,0.32,0.98,
PD9,F07,2261,1.68,0.98,
PD9,G07,18915,30.55,0.98,
PD9,H07,3204,3.32,0.98,
PD9,A08,2918,2.82,0.98,
PD9,B08,20807,33.83,0.98,
PD9,C08,938,0.00,0.98,
PD9,D08,3616,4.03,0.98,
PD9,E08,905,0.00,0.98,
PD9,F08,20015,32.45,0.98,
PD9,G08,10854,16.58,0.98,
PD9,H08,15338,24.35,0.98,
PD9,A09,900,0.00,0.98,
PD9,B09,6727,9.42,0.98,
PD9,C09,10451,15.88,0.98,
PD9,D09,962,0.00,0.98,
PD9,E09,1036,0.00,0.98,
PD9,F09,2049,1.32,0.98,
PD9,G09,3992,4.68,0.98,
PD9,H09,3424,3.70,0.98,
PD9,A10,1326,0.06,0.98,
PD9,B10,16409,26.20,0.98,
PD9,C10,1822,0.92,0.98,
PD9,D10,25351,41.70,0.98,
PD9,E10,1101,0.00,0.98,
PD9,F10,2290,1.73,0.98,
PD9,G10,1601,0.54,0.98,
PD9,H10,17011,27.25,0.98,
PD9,A11,825,0.00,0.98,
PD9,B11,9778,14.71,0.98,
PD9,C11,1831,0.94,0.98,
PD9,D11,1480,0.33,0.98,
PD9,E11,7485,10.74,0.98,
PD9,F11,1144,0.00,0.98,
PD9,G11,1090,0.00,0.98,
PD9,H11,19864,32.19,0.98,
PD9,A12,951,0.00,0.98,
PD9,B12,834,0.00,0.98,
PD9,C12,811,0.00,0.98,
PD9,D12,11922,18.43,0.98,
PD9,E12,1577,0.50,0.98,
PD9,F12,965,0.00,0.98,
PD9,G12,1067,0.00,0.98,
PD9,H12,2739,2.51,0.98,
